英文名	中文名
silky_terrier	丝毛梗
Scottish_deerhound	苏格兰猎鹿犬
Chesapeake_Bay_retriever	切萨皮克湾寻回犬
Ibizan_hound	伊比赞猎犬
wire-haired_fox_terrier	刚毛猎狐梗
Saluki	萨路基猎犬
cocker_spaniel	可卡犬
schipperke	船尾犬
borzoi	俄罗斯狼hound（灵缇类，常称“俄国猎狼犬”）
Pembroke	彭布罗克威尔士柯基犬
komondor	髯犬（匈牙利牧羊犬）
Staffordshire_bullterrier	斯塔福郡斗牛梗
standard_poodle	标准贵宾犬
Eskimo_dog	爱斯基摩犬
English_foxhound	英国猎狐犬
golden_retriever	金毛寻回犬
Sealyham_terrier	西里汉梗
Japanese_spaniel	日本狆（Chin）
miniature_schnauzer	迷你雪纳瑞
malamute	阿拉斯加雪橇犬
malinois	马里努阿犬（比利时马犬）
Pekinese	北京犬（狮子狗）
giant_schnauzer	巨型雪纳瑞
Mexican_hairless	墨西哥无毛犬
Doberman	杜宾犬
standard_schnauzer	标准雪纳瑞
dhole	貉（亚洲野犬，此处应为误标，斯坦福数据集中实为“Dingo”类，建议替换为“亚洲豺犬”或跳过）
German_shepherd	德国牧羊犬
Bouvier_des_Flandres	波尔多牧羊犬（佛兰德斯畜牧犬）
Siberian_husky	西伯利亚哈士奇
Norwich_terrier	诺维奇梗
Irish_terrier	爱尔兰梗
Norfolk_terrier	诺福克梗
Saint_Bernard	圣伯纳犬
Border_terrier	边境梗
briard	布里牧羊犬
Tibetan_mastiff	藏獒
bull_mastiff	斗牛獒
Maltese_dog	马尔济斯犬
Kerry_blue_terrier	凯利蓝梗
kuvasz	科维萨犬（匈牙利库瓦兹犬）
Greater_Swiss_Mountain_dog	大瑞士山地犬
Lakeland_terrier	湖畔梗
Blenheim_spaniel	布伦海姆可卡犬（英系）
basset	巴吉度猎犬
West_Highland_white_terrier	西高地白梗
Chihuahua	吉娃娃
Border_collie	边境牧羊犬
redbone	红骨猎浣熊犬
Irish_wolfhound	爱尔兰猎狼犬
bluetick	蓝斑猎浣熊犬
miniature_poodle	迷你贵宾犬
Cardigan	卡迪根威尔士柯基犬
EntleBucher	恩特雷布赫山地犬
Norwegian_elkhound	挪威麋鹿犬
German_short-haired_pointer	德国短毛指示犬
Bernese_mountain_dog	伯恩山犬
papillon	蝴蝶犬
Tibetan_terrier	西藏梗
Gordon_setter	戈登雪达犬
American_Staffordshire_terrier	美国斯塔福郡斗牛梗
vizsla	维兹拉犬（匈牙利指示犬）
kelpie	凯皮犬（澳洲牧牛犬）
Weimaraner	魏玛犬
miniature_pinscher	迷你宾莎犬
boxer	拳师犬
chow	松狮犬
Old_English_sheepdog	古代英国牧羊犬
pug	巴哥犬
Rhodesian_ridgeback	罗得西亚脊背犬
Scotch_terrier	苏格兰梗
Shih-Tzu	西施犬
affenpinscher	猴子梗
whippet	惠比特犬
Sussex_spaniel	苏塞克斯猎犬
otterhound	水獭猎犬
flat-coated_retriever	平毛寻回犬
English_setter	英国雪达犬
Italian_greyhound	意大利灵缇
Labrador_retriever	拉布拉多寻回犬
collie	柯利牧羊犬（苏牧）
cairn	凯恩梗
Rottweiler	罗威纳犬
Australian_terrier	澳洲梗
toy_terrier	玩具梗
Shetland_sheepdog	喜乐蒂牧羊犬
African_hunting_dog	非洲野犬（建议替换为“非洲猎犬”或跳过）
Newfoundland	纽芬兰犬
Walker_hound	沃克猎浣熊犬
Lhasa	拉萨犬（即拉萨狮子狗，近北京犬）
beagle	比格犬
Samoyed	萨摩耶犬
Great_Dane	大丹犬
Airedale	万能梗
bloodhound	寻血猎犬
Irish_setter	爱尔兰雪达犬
keeshond	荷兰毛狮犬
Dandie_Dinmont	丹迪丁蒙梗
basenji	巴仙吉犬
Bedlington_terrier	贝林顿梗
Appenzeller	阿彭策尔山犬
clumber	克伦伯猎犬
toy_poodle	玩具贵宾犬
Great_Pyrenees	大白熊犬（比利牛斯山犬）
English_springer	英国激飞猎犬
Afghan_hound	阿富汗猎犬
Brittany_spaniel	布列塔尼猎犬
Welsh_springer_spaniel	威尔士激飞猎犬
Boston_bull	波士顿梗
dingo	澳洲野犬
soft-coated_wheaten_terrier	软毛麦色梗
curly-coated_retriever	卷毛寻回犬
French_bulldog	法国斗牛犬
Irish_water_spaniel	爱尔兰水猎犬
Pomeranian	博美犬
Brabancon_griffon	布拉班松格里芬犬
Yorkshire_terrier	约克夏梗
groenendael	格罗安达犬（比利时牧羊犬黑毛型）
Leonberg	狮子狗（莱昂贝格犬）
black-and-tan_coonhound	黑褐猎浣熊犬
